date,gap theme,subject,"ticket text (truncated, personal data removed)"
2025-01-14,Emails not delivered / bounced / spam,Registration - Urgent,"Hello, we launched our registration and ticket sales and there seems to be an issue between the 'Buy Tickets' interface and logging into OA. It is not possible to progress with the sales as you are bounced back from page to page. We have launched registration and have received a lot of emails from participants. Please provide support as soon as possible."
2025-01-31,Emails not delivered / bounced / spam,email issue,Cheshire Hardcastle has tried to update her profile email from [email] to [email] She gets an error from the website. Cheshire doesn't have access to the [email] any more. Per the screenshot I have attached you will see that any emails sent to the [email] email bounced. Could you please update her email to [email]
2025-01-31,Emails not delivered / bounced / spam,Verification Email,I did not receive the verification email once I´ve created my account. I can´t submit an abstract
2025-02-17,Emails not delivered / bounced / spam,Unable to verify email address,"My institute email, [email], is unable to be verified. I do not receive the email to confirm my email address. I have added oxford abstracts as a trusted email source but still have not received the email. I have confirmed with my institute that the error does not appear to be from my institute's side. Could you kindly help confirm my email, thank you."
2025-03-04,Emails not delivered / bounced / spam,Email bounce,I am receiving an email bounce for one of our abstract submitters - [email] She has verified that the email address is correct so I am trying to figure out if there are any logs that would show me why it is bouncing? Thanks Andy
2025-04-23,Emails not delivered / bounced / spam,AM2025 Conference Paper Decision,"I am the presenting author for the paper mentioned below (ID 417). My co-author has received the acceptance email;however, I have not received any communication, and I am also unable to access it through the login portal. I would greatly appreciate your quick reply. Thank you. Best regards, Dr. Shiksha Kushwah"
2025-07-08,Emails not delivered / bounced / spam,acceptance email not sent,"Could you please help us, we sent acceptance emails to submitters, but one of the submitters didn't receive the email ""[email]"". we did send another email today, but can't find it in the logs Thank you for your help. Best regards"
2025-07-23,Emails not delivered / bounced / spam,Bounced emails,"Hi. My sent logs show 2 email addresses that bounced: [email] [email] How is that possible, given that they need to confirm the email (by clicking on a link sent to the address) before submitting an abstract? Thank you."
2025-07-25,Emails not delivered / bounced / spam,Email not registering,"Hi, I'm trying to sign up here: https://auth.oxfordabstracts.com/?redirect=/stages/77660/submitter but I am not receiving the email to confirm my account. I added [email] as a contact in my outlook email. Can you help me with creating an account or sending me the email?"
2025-09-05,Emails not delivered / bounced / spam,Received a Bounce - Can I update the email?,"Hi, I received a bounce back from an email. Can I update the email address in the system?"
2025-10-03,Emails not delivered / bounced / spam,Email Issues - ICMB,"Good afternoon, I have encountered 2 issues related to the email system inside the Oxford System 1. when I am emailing registered participants throught the registration tab and use a previously prepared template I cant see any preview of my email. When I click on ""Preview emails"" I get the following error ""Error parsing body"" and dont see any preview 2. We have a registered person who even when I "
2025-12-05,Emails not delivered / bounced / spam,Decision Emails Not Sent?,"Hello - I thought I sent all of the decision emails for my event earlier today, but don't see any of them in the email log. Can you confirm teh status of these emails? I don't want to send again if they have in fact sent, but aren't showing up that way in teh portal."
2025-12-05,Emails not delivered / bounced / spam,reviewer emails not sending,I have programmed test reviewers and but the emails are not arriving to our inboxes
2025-12-07,Emails not delivered / bounced / spam,emails not sending,"HI: Emails we are sending through oxford are not delivering. we are having the same issue with another oxford account we have as well. they are not in the logs, the test emails are not received etc.....Trying to send out some reviewer notices ."
2026-01-22,Emails not delivered / bounced / spam,Verification email never received,"Hello, I am trying to create an account using my institution email ([email]). But I did not receive the verification email. I added [email] to my safe senders list, still have not received it yet. Could you send the verification email? Thanks, Lindsay"
2026-03-11,Emails not delivered / bounced / spam,Adding new event admin,"I am trying to add my new colleague, Loic Beuzit, to be an event admin, but he is not receiving the link to his emails. I have tried resending the invitation and he has also tried to login and select 'forgotten password'. but he then doesn't receive the reset link."
2026-04-27,Emails not delivered / bounced / spam,I want to change my login email,"Dear Oxford Abstracts team. My email registered is [email], however, I'm not receiving the verification email. Can you help me to change the email to [email] or [email]"
2026-05-01,Emails not delivered / bounced / spam,Email domain not being accepted,"Some of our reviewers and submitters are not receiving emails, and they don't show up in the OA log either. I've just tried sending a custom message to a particular reviewer and it is not logged. The email is [email] - but others from @ipk-gatersleben.de have confirmed the same behaviour."
2026-05-05,Emails not delivered / bounced / spam,Can't verify my email for TECO abstract submission,"I can't verify my email, because I do not receive an email from OA system"
2026-05-29,Emails not delivered / bounced / spam,email change,"Hello, I registered using [email] However, this email is no longer working. Now I changed my email to [email] Can you please re-send the notification for MAPS abstract notification? I did not receive the notification in my gmail because it is no longer working. I think the notification you sent was bounced back. (MAPS Scientific Meeting 2026)"
2026-06-08,Emails not delivered / bounced / spam,Email Log - Pending,I have resent notifications to all of the presenters who have not responded and now all of my email are pending and have not sent.
2026-06-11,Emails not delivered / bounced / spam,BOUNCED: All of a sudden my registered email address does not receive test messages anymor,"Dear support team, All of a sudden my registered email address ([email]) does not receive test messages sent by [email] anymore! Before, it all worked fine. It says: SPAM NOTIFICATION. But my own IT support says he needs more information like a deamon announcement or sth similar. Can you please help me, because it is a bit urgent since we are in the hot phase of your event. Many thanks and kind re"
2026-06-17,Emails not delivered / bounced / spam,Emails not going through,"Many people have reported that they are not receiving the emails we are sending via the OA system. They habve checked their Spam folders and filters, and the emails are not there. We have tried several things and nothing seems to work. On further investigation, >400 of our registered participants have not opened any email we have sent them. There is clearly something wrong with the OA emails being"
2026-06-23,Emails not delivered / bounced / spam,Issue with updating email,"I am trying to updating my email account as a submitter from [email] to [email], because I will no longer be at Northwestern University after Friday, June 26, 2026. When I try to log back in as [email], I am prompted to confirm the email, but I am not receiving any confirmation email at either [email] or even the previous email [email] Please advise."
2025-01-13,File / figure / PDF upload failures,Speaker affiliation fields,"Hi there, I want to allow submitters to send in speaker info with more than one affiliation and a job title connected to that affiliation. I figured that would be easiest to do by editing one of the other affiliation fields that I am not using. However, if I use the ""city label"" for that purpose, the city part of it still appears in the error message - it still says ""requires a city"" if that field"
2025-01-15,File / figure / PDF upload failures,Unsure how to enable poster gallery,"Hello OA. I am having a hard time enabling the poster gallery on our event site. I have added the poster upload question to our submission form, and added all of our posters to the gallery under the decisions table, but the ""Poster Gallery"" is still not appearing in our virtual meeting menu. Can you please assist? Many thanks, Tandy"
2025-01-16,File / figure / PDF upload failures,Inquiry Regarding MP4 File Uploads on Oxford Abstract,"Dear Oxford Abstract Team, We are planning to use Oxford Abstract for our upcoming conferences, but I have a question before we initiate the process. Could you please confirm whether submitters are able to upload MP4 recordings, particularly as our files generally range from 150-300 MB in size? Specifically, I would like to know the maximum size limit for MP4 files that can be uploaded onto Oxford"
2025-01-27,File / figure / PDF upload failures,I can't download photos from author profiles in a useable format,"In the author profile, the authors upload a photo, which oxford abstract has a button to download them. But when I do this, the file isn't downloaded in any standard format, and also is cropped in the circle format in very low resolution. Can I download the original image they uploaded?"
2025-01-28,File / figure / PDF upload failures,Trouble changing notification email,"I tried changing the notification email address for my conference but encountered some issues. I got the verification email and was asked to set up a password. I used the same password that I use for my account. I got a message that said, ""This email is not associated with an Oxford Abstracts account"" (see attachment). I thought that maybe I need to change the email associated with my account for "
2025-02-10,File / figure / PDF upload failures,Abstract submitter having trouble at log in,I will upload the email he sent us requesting assistance.
2025-02-17,File / figure / PDF upload failures,unable to download paper for review,"I am unable to download one of the submissions for review. When I click on paper 119. Building Health across Generations: Childbirth, Childcare and Maternal Health I receive an ""error 500"". I have attached a screenshot of the error message."
2025-02-18,File / figure / PDF upload failures,unable to submit an abstract,"I've created my account and I'm signed in, unable to upload my abstract as dashboard doesn't appear. pls help"
2025-02-21,File / figure / PDF upload failures,Download High-Quality Photos,"Dear Oxford Abstracts support, I am needing to download all of the headshots/profile photos uploaded by our proposers. When I edit an individual's proposal and click ""Download Uploaded Image"" beneath each person's picture, the file that results is a very small PNG (c. 100-150 KB) cropped in a circle. Could you point me towards how to download, ideally in bulk, the original, uncropped images at ori"
2025-02-26,File / figure / PDF upload failures,submit a poster,"Our initial stage is complete. Now, I want to have accepted submitters upload a poster to their existing profile - so that we can display the abstract and the poster on the website. Do I add a new question/field for a poster upload and hide all others? Or is this done as a multi-stage? The multi-stage seems to ask new questions versus bringing the submitter back into their original profile."
2025-03-04,File / figure / PDF upload failures,I don’t see an option to upload my poster,I was supposed to upload my poster using this link but when I log in I don’t see an option to upload my poster.
2025-03-17,File / figure / PDF upload failures,Unable to verify my email link does not work,"I cant verify my email. I receive the link for verification but the link does not take to any website. I have tried different browsers and it is the same. Then, as I have not confirmed my email, I can t access your site to upload an abstract. This is time sensitive, please reach out to me. This is my second request"
2025-03-24,File / figure / PDF upload failures,error when creating registration,"Hello - I'm testing the event and when trying to register I receive an error message - see uploaded file. Lat night when I tried to register the error message appeared on the credit card screen in the box where I would enter the credit card number, ""error registering user for payment"". Not sure what is happening here, we do have the event linked up to receive payments. Thanks for your help."
2025-03-24,File / figure / PDF upload failures,Unable to login,"When I try to enter my email and log in to Oxford Abstracts, I get a red message below my entered email address saying "" There was a problem making the request: request failed"". This message always appears after I type in my email. I am unable to press the ""sign in"" button. I was having this issue on my macbook laptop earlier this month (when I was trying to make an account), so I used a Microsoft"
2025-03-26,File / figure / PDF upload failures,Issue with Abstract Submission for American Peptide Symposium,"Dear Sir or Madam, I am writing regarding an issue I am experiencing with my abstract submission for the American Peptide Symposium. When attempting to submit my abstract, I encountered an error that is preventing me from completing the submission process. The screenshot of the specific error message is uploaded. I would greatly appreciate your guidance on how to resolve this issue so that I can s"
2025-05-13,File / figure / PDF upload failures,The submission form for the event could not be loaded,"I get an error message when I open the ""submission form link"" on the events webpage. I have uploaded a screenshot of the error message. Thank you."
2025-05-29,File / figure / PDF upload failures,Experiential Learning in Action: Teaching Kolb’s Theory Through Origami in Asynchronous,I have signed into my account ([email]) and cannot view reviews. The attached is a screenshot of the only information I can access.
2025-06-16,File / figure / PDF upload failures,Can't login to the virtual programme,I have registered to attend the meeting virtually and did all the initial procedure to join virtually but unable to login the meeting. I have attached the error screenshot.
2025-06-27,File / figure / PDF upload failures,links for member/SIG-initiated symposia submission not working (different from the Abstrac,"The hyperlinks embedded in the portion of the member invitation for symposia submission do not work (return a 404). For your convenience, the member/SIG-initiated submission form can be accessed here. Proposals must be submitted through this form and must follow the format and instructions provided. The deadline for submission is June 30, 2025, at 11:59 PM PT. Due to an earlier planning timeline r"
2025-07-02,File / figure / PDF upload failures,View Event Not Working,"When attempting to access the AEC 2026 event, the ""VIEW"" button (https://admin.oxfordabstracts.com/events/74889/app/) does not load. It has been two days now in which I receive a blank white page with a frozen loading circle that never loads (please see file upload). Thank you so much for your help. Ashley"
2025-07-07,File / figure / PDF upload failures,Unable to upload/paste graph into abstract submission form,Unable to paste graph into BSR case based conference abstract submission form box despite being told by organisers a graph is acceptable. Graph currently in JPEG format - is there an acceptable file format or a way of uploading a graph to be submitted as part of the abstract? Thanks
2025-07-11,File / figure / PDF upload failures,Urgent help needed – change of e-mail address for Oxford Abstracts account,"Dear Oxford Abstracts Support Team, My name is Jaime Solís and I need your assistance to update the e-mail address linked to my account before the ESERA 2025 conference. Current situation • Current e-mail (expiring): [email] This institutional address will be deactivated in less than one month, which would cut me off from all ESERA 2025 notifications scheduled for August 2025. • New e-mail request"
